Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
Dum Pukht,Awadhi₹5000 for two,"ITC Windsor, Bengaluru","Dum PukhtITC Windsor, BengaluruAwadhi₹5000 for two4.5",25% Off :Payeazy
Dum Pukht,Awadhi₹5000 for two,"ITC Windsor, Bengaluru","Dum PukhtITC Windsor, BengaluruAwadhi₹5000 for two4.5",25% Off :Payeazy
Boche,Multicuisine₹2000 for two,"Eva Mall, Ashok Nagar","BocheEva Mall, Ashok NagarMulticuisine₹2000 for two3.0",Flat 10% + 25% with Bank Offers
Boche,Multicuisine₹2000 for two,"Eva Mall, Ashok Nagar","BocheEva Mall, Ashok NagarMulticuisine₹2000 for two3.0",Flat 10% + 25% with Bank Offers
Copper Finch,North Indian₹1800 for two,"Rajajinagar, West Bengaluru","Copper FinchRajajinagar, West BengaluruNorth Indian₹1800 for two5.0",Flat 10% + 25% with Bank Offers
Copper Finch,North Indian₹1800 for two,"Rajajinagar, West Bengaluru","Copper FinchRajajinagar, West BengaluruNorth Indian₹1800 for two5.0",Flat 10% + 25% with Bank Offers
Wow! China,Chinese₹2000 for two,"Church Street, Central Bengaluru  | View All(10) Outlets","Wow! ChinaChurch Street, Central Bengaluru  | View All(10) OutletsChinese₹2000 for two4.0",Flat 15% + 25% with Bank Offers
Wow! China,Chinese₹2000 for two,"Church Street, Central Bengaluru  | View All(10) Outlets","Wow! ChinaChurch Street, Central Bengaluru  | View All(10) OutletsChinese₹2000 for two4.0",Flat 15% + 25% with Bank Offers
Urban Fork,Cafe₹800 for two,"Frazer Town, Central Bengaluru","Urban ForkFrazer Town, Central BengaluruCafe₹800 for two4.0",Flat 15% + 25% with Bank Offers
Urban Fork,Cafe₹800 for two,"Frazer Town, Central Bengaluru","Urban ForkFrazer Town, Central BengaluruCafe₹800 for two4.0",Flat 15% + 25% with Bank Offers
Tangerine,Multicuisine₹2000 for two,"Davanam Sarovar Portico Suites, Bengaluru","TangerineDavanam Sarovar Portico Suites, BengaluruMulticuisine₹2000 for two4.1",Flat 20% + 25% with Bank Offers
Tangerine,Multicuisine₹2000 for two,"Davanam Sarovar Portico Suites, Bengaluru","TangerineDavanam Sarovar Portico Suites, BengaluruMulticuisine₹2000 for two4.1",Flat 20% + 25% with Bank Offers
Maverick & Farmer Coffee,Cafe₹2000 for two,"Ulsoor, East Bengaluru","Maverick & Farmer CoffeeUlsoor, East BengaluruCafe₹2000 for two4.3",Flat 10% + 25% with Bank Offers
Maverick & Farmer Coffee,Cafe₹2000 for two,"Ulsoor, East Bengaluru","Maverick & Farmer CoffeeUlsoor, East BengaluruCafe₹2000 for two4.3",Flat 10% + 25% with Bank Offers
The Burrow,"Italian, North Indian₹2000 for two","Hotel 37th Crescent, Bengaluru","The BurrowHotel 37th Crescent, BengaluruItalian, North Indian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
The Burrow,"Italian, North Indian₹2000 for two","Hotel 37th Crescent, Bengaluru","The BurrowHotel 37th Crescent, BengaluruItalian, North Indian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Season Restaurant,Multicuisine₹2000 for two,"Richmond Town, Central Bengaluru","Season RestaurantRichmond Town, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
Season Restaurant,Multicuisine₹2000 for two,"Richmond Town, Central Bengaluru","Season RestaurantRichmond Town, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
Aromas of Asia,Multicuisine₹2000 for two,"Hotel 37th Crescent, Bengaluru","Aromas of AsiaHotel 37th Crescent, BengaluruMulticuisine₹2000 for two3.0",Flat 10% + 25% with Bank Offers
Aromas of Asia,Multicuisine₹2000 for two,"Hotel 37th Crescent, Bengaluru","Aromas of AsiaHotel 37th Crescent, BengaluruMulticuisine₹2000 for two3.0",Flat 10% + 25% with Bank Offers
11grams Coffee Roasters,Cafe₹2000 for two,"Church Street, Central Bengaluru","11grams Coffee RoastersChurch Street, Central BengaluruCafe₹2000 for two5.0",Flat 10% + 25% with Bank Offers
11grams Coffee Roasters,Cafe₹2000 for two,"Church Street, Central Bengaluru","11grams Coffee RoastersChurch Street, Central BengaluruCafe₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Crossroads Cafe,Multicuisine₹2000 for two,"Brigade Road, Central Bengaluru","Crossroads CafeBrigade Road, Central BengaluruMulticuisine₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Crossroads Cafe,Multicuisine₹2000 for two,"Brigade Road, Central Bengaluru","Crossroads CafeBrigade Road, Central BengaluruMulticuisine₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Chambal,Indian₹2000 for two,"Church Street, Central Bengaluru  | View All(2) Outlets","ChambalChurch Street, Central Bengaluru  | View All(2) OutletsIndian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Chambal,Indian₹2000 for two,"Church Street, Central Bengaluru  | View All(2) Outlets","ChambalChurch Street, Central Bengaluru  | View All(2) OutletsIndian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Flavours of Bharat,Multicuisine₹2500 for two,"Sankey Road, North Bengaluru","Flavours of BharatSankey Road, North BengaluruMulticuisine₹2500 for two5.0",Flat 10% + 25% with Bank Offers
Flavours of Bharat,Multicuisine₹2500 for two,"Sankey Road, North Bengaluru","Flavours of BharatSankey Road, North BengaluruMulticuisine₹2500 for two5.0",Flat 10% + 25% with Bank Offers
Cocobolo,"Cocktail Menu, Multicuisine₹2000 for two","New BEL Road, North Bengaluru","CocoboloNew BEL Road, North BengaluruCocktail Menu, Multicuisine₹2000 for two3.9",Flat 10% + 25% with Bank Offers
Cocobolo,"Cocktail Menu, Multicuisine₹2000 for two","New BEL Road, North Bengaluru","CocoboloNew BEL Road, North BengaluruCocktail Menu, Multicuisine₹2000 for two3.9",Flat 10% + 25% with Bank Offers
Tea and Wine Lounge,"Finger Food, Desserts₹1500 for two",Radisson Blu Atria Bengaluru,"Tea and Wine LoungeRadisson Blu Atria BengaluruFinger Food, Desserts₹1500 for two4.5",Flat 10% + 25% with Bank Offers
Tea and Wine Lounge,"Finger Food, Desserts₹1500 for two",Radisson Blu Atria Bengaluru,"Tea and Wine LoungeRadisson Blu Atria BengaluruFinger Food, Desserts₹1500 for two4.5",Flat 10% + 25% with Bank Offers
Hitchki,Modern Indian₹2000 for two,"Phoenix Market City Mall, Whitefield","HitchkiPhoenix Market City Mall, WhitefieldModern Indian₹2000 for two4.2",25% Off :Payeazy
Hitchki,Modern Indian₹2000 for two,"Phoenix Market City Mall, Whitefield","HitchkiPhoenix Market City Mall, WhitefieldModern Indian₹2000 for two4.2",25% Off :Payeazy
Andhra Ruchulu,Multicuisine₹2000 for two,"Sankey Road, North Bengaluru  | View All(3) Outlets","Andhra RuchuluSankey Road, North Bengaluru  | View All(3) OutletsMulticuisine₹2000 for two4.6",25% Off :Payeazy
Andhra Ruchulu,Multicuisine₹2000 for two,"Sankey Road, North Bengaluru  | View All(3) Outlets","Andhra RuchuluSankey Road, North Bengaluru  | View All(3) OutletsMulticuisine₹2000 for two4.6",25% Off :Payeazy
ee Kavii,"Pan Asian, Continental₹2000 for two","JP Nagar, South Bengaluru","ee KaviiJP Nagar, South BengaluruPan Asian, Continental₹2000 for two4.7",Flat 10% + 25% with Bank Offers
ee Kavii,"Pan Asian, Continental₹2000 for two","JP Nagar, South Bengaluru","ee KaviiJP Nagar, South BengaluruPan Asian, Continental₹2000 for two4.7",Flat 10% + 25% with Bank Offers
The Coffee Brewery - Green Glen Layout,"Coffee and Tea, Cafe₹2000 for two","Bellandur, South Bengaluru  | View All(14) Outlets","The Coffee Brewery - Green Glen LayoutBellandur, South Bengaluru  | View All(14) OutletsCoffee and Tea, Cafe₹2000 for two5.0",Flat 10% + 25% with Bank Offers
The Coffee Brewery - Green Glen Layout,"Coffee and Tea, Cafe₹2000 for two","Bellandur, South Bengaluru  | View All(14) Outlets","The Coffee Brewery - Green Glen LayoutBellandur, South Bengaluru  | View All(14) OutletsCoffee and Tea, Cafe₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Coco's Bar & Kitchen,Multicuisine₹1200 for two,"Church Street, Central Bengaluru","Coco's Bar & KitchenChurch Street, Central BengaluruMulticuisine₹1200 for two4.3",25% Off :Payeazy
Coco's Bar & Kitchen,Multicuisine₹1200 for two,"Church Street, Central Bengaluru","Coco's Bar & KitchenChurch Street, Central BengaluruMulticuisine₹1200 for two4.3",25% Off :Payeazy
 KoMaama Korean Restaurant,Korean₹2000 for two,"Brigade Road, Central Bengaluru"," KoMaama Korean RestaurantBrigade Road, Central BengaluruKorean₹2000 for two4.0",Flat 10% + 25% with Bank Offers
 KoMaama Korean Restaurant,Korean₹2000 for two,"Brigade Road, Central Bengaluru"," KoMaama Korean RestaurantBrigade Road, Central BengaluruKorean₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Howl’n Pub,Multicuisine₹1400 for two,"Church Street, Central Bengaluru","Howl’n PubChurch Street, Central BengaluruMulticuisine₹1400 for two4.3",Flat 10% + 25% with Bank Offers
Howl’n Pub,Multicuisine₹1400 for two,"Church Street, Central Bengaluru","Howl’n PubChurch Street, Central BengaluruMulticuisine₹1400 for two4.3",Flat 10% + 25% with Bank Offers
"Atlantis - Brewpub, Cocktails & Kitchen",Multicuisine₹2000 for two,"HSR, South Bengaluru","Atlantis - Brewpub, Cocktails & KitchenHSR, South BengaluruMulticuisine₹2000 for two4.2",25% Off :Payeazy
"Atlantis - Brewpub, Cocktails & Kitchen",Multicuisine₹2000 for two,"HSR, South Bengaluru","Atlantis - Brewpub, Cocktails & KitchenHSR, South BengaluruMulticuisine₹2000 for two4.2",25% Off :Payeazy
Café du L'Amour (Cafe of Love),Multicuisine₹600 for two,"Koramangala 4th Block, South Bengaluru","Café du L'Amour (Cafe of Love)Koramangala 4th Block, South BengaluruMulticuisine₹600 for two5.0",Flat 10% + 25% with Bank Offers
Café du L'Amour (Cafe of Love),Multicuisine₹600 for two,"Koramangala 4th Block, South Bengaluru","Café du L'Amour (Cafe of Love)Koramangala 4th Block, South BengaluruMulticuisine₹600 for two5.0",Flat 10% + 25% with Bank Offers
The Veg & Veg,South Indian₹2000 for two,"Indiranagar, East Bengaluru","The Veg & VegIndiranagar, East BengaluruSouth Indian₹2000 for two4.9",Flat 10% + 25% with Bank Offers
The Veg & Veg,South Indian₹2000 for two,"Indiranagar, East Bengaluru","The Veg & VegIndiranagar, East BengaluruSouth Indian₹2000 for two4.9",Flat 10% + 25% with Bank Offers
Tyla - Brewery & Kitchen,"Finger Food, Cocktail Menu₹1800 for two","JP Nagar, South Bengaluru","Tyla - Brewery & KitchenJP Nagar, South BengaluruFinger Food, Cocktail Menu₹1800 for two4.3",Flat 15% + 25% with Bank Offers
Tyla - Brewery & Kitchen,"Finger Food, Cocktail Menu₹1800 for two","JP Nagar, South Bengaluru","Tyla - Brewery & KitchenJP Nagar, South BengaluruFinger Food, Cocktail Menu₹1800 for two4.3",Flat 15% + 25% with Bank Offers
Urban Solace,Multicuisine₹2000 for two,"Ulsoor, East Bengaluru","Urban SolaceUlsoor, East BengaluruMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Urban Solace,Multicuisine₹2000 for two,"Ulsoor, East Bengaluru","Urban SolaceUlsoor, East BengaluruMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Bootstrapped Cafe,"European, North Indian₹2000 for two","Ashok Nagar, Bengaluru","Bootstrapped CafeAshok Nagar, BengaluruEuropean, North Indian₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Bootstrapped Cafe,"European, North Indian₹2000 for two","Ashok Nagar, Bengaluru","Bootstrapped CafeAshok Nagar, BengaluruEuropean, North Indian₹2000 for two4.0",Flat 10% + 25% with Bank Offers
The Wine Terrace,"American, European₹2000 for two","Ulsoor, East Bengaluru","The Wine TerraceUlsoor, East BengaluruAmerican, European₹2000 for two4.0",Flat 10% + 25% with Bank Offers
The Wine Terrace,"American, European₹2000 for two","Ulsoor, East Bengaluru","The Wine TerraceUlsoor, East BengaluruAmerican, European₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Apna Dhaba,Multicuisine₹2000 for two,"Residency Road, Central Bengaluru  | View All(3) Outlets","Apna DhabaResidency Road, Central Bengaluru  | View All(3) OutletsMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Apna Dhaba,Multicuisine₹2000 for two,"Residency Road, Central Bengaluru  | View All(3) Outlets","Apna DhabaResidency Road, Central Bengaluru  | View All(3) OutletsMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Kazan Japanese Ramen,Japanese₹2000 for two,"Church Street, Central Bengaluru","Kazan Japanese RamenChurch Street, Central BengaluruJapanese₹2000 for two4.9",25% Off :Payeazy
Kazan Japanese Ramen,Japanese₹2000 for two,"Church Street, Central Bengaluru","Kazan Japanese RamenChurch Street, Central BengaluruJapanese₹2000 for two4.9",25% Off :Payeazy
Nakkshatra by Nagarjuna,"Multicuisine, Biryani₹2500 for two","Marathahalli, East Bengaluru","Nakkshatra by NagarjunaMarathahalli, East BengaluruMulticuisine, Biryani₹2500 for two4.4",Flat 10% + 25% with Bank Offers
Nakkshatra by Nagarjuna,"Multicuisine, Biryani₹2500 for two","Marathahalli, East Bengaluru","Nakkshatra by NagarjunaMarathahalli, East BengaluruMulticuisine, Biryani₹2500 for two4.4",Flat 10% + 25% with Bank Offers
Monarch Cafe,Multicuisine₹1200 for two,"Brigade Road, Central Bengaluru","Monarch CafeBrigade Road, Central BengaluruMulticuisine₹1200 for two4.0",Flat 10% + 25% with Bank Offers
Monarch Cafe,Multicuisine₹1200 for two,"Brigade Road, Central Bengaluru","Monarch CafeBrigade Road, Central BengaluruMulticuisine₹1200 for two4.0",Flat 10% + 25% with Bank Offers
CHA,Pan Asian₹2000 for two,"Phoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(2) Outlets","CHAPhoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(2) OutletsPan Asian₹2000 for two4.3",Flat 15% + 25% with Bank Offers
CHA,Pan Asian₹2000 for two,"Phoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(2) Outlets","CHAPhoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(2) OutletsPan Asian₹2000 for two4.3",Flat 15% + 25% with Bank Offers
Flavours,Multicuisine₹2000 for two,"Citadel Sarovar Portico, Bengaluru","FlavoursCitadel Sarovar Portico, BengaluruMulticuisine₹2000 for two4.3",Flat 10% + 25% with Bank Offers
Flavours,Multicuisine₹2000 for two,"Citadel Sarovar Portico, Bengaluru","FlavoursCitadel Sarovar Portico, BengaluruMulticuisine₹2000 for two4.3",Flat 10% + 25% with Bank Offers
Anjappar Chettinad Restaurant,Indian₹2000 for two,"Ashok Nagar, Bengaluru  | View All(9) Outlets","Anjappar Chettinad RestaurantAshok Nagar, Bengaluru  | View All(9) OutletsIndian₹2000 for two3.7",Flat 10% + 25% with Bank Offers
Anjappar Chettinad Restaurant,Indian₹2000 for two,"Ashok Nagar, Bengaluru  | View All(9) Outlets","Anjappar Chettinad RestaurantAshok Nagar, Bengaluru  | View All(9) OutletsIndian₹2000 for two3.7",Flat 10% + 25% with Bank Offers
Tiger Trail,Indian₹2000 for two,"Regenta Place Cunningham, Bengaluru","Tiger TrailRegenta Place Cunningham, BengaluruIndian₹2000 for two4.1",Flat 15% + 25% with Bank Offers
Tiger Trail,Indian₹2000 for two,"Regenta Place Cunningham, Bengaluru","Tiger TrailRegenta Place Cunningham, BengaluruIndian₹2000 for two4.1",Flat 15% + 25% with Bank Offers
Pret A Manger,Multicuisine₹800 for two,"Phoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(1) Outlets","Pret A MangerPhoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(1) OutletsMulticuisine₹800 for two4.0",Flat 20% + 25% with Bank Offers
Pret A Manger,Multicuisine₹800 for two,"Phoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(1) Outlets","Pret A MangerPhoenix Mall Of Asia, Yelahanka, Bengaluru  | View All(1) OutletsMulticuisine₹800 for two4.0",Flat 20% + 25% with Bank Offers
Bologna Italian Restaurant,Italian₹2000 for two,"100 Feet Road, East Bengaluru  | View All(3) Outlets","Bologna Italian Restaurant100 Feet Road, East Bengaluru  | View All(3) OutletsItalian₹2000 for two4.5",Flat 10% + 25% with Bank Offers
Bologna Italian Restaurant,Italian₹2000 for two,"100 Feet Road, East Bengaluru  | View All(3) Outlets","Bologna Italian Restaurant100 Feet Road, East Bengaluru  | View All(3) OutletsItalian₹2000 for two4.5",Flat 10% + 25% with Bank Offers
Mahanagaram,Andhra₹800 for two,"Kalyan Nagar, North Bengaluru","MahanagaramKalyan Nagar, North BengaluruAndhra₹800 for two4.7",25% Off :Payeazy
Mahanagaram,Andhra₹800 for two,"Kalyan Nagar, North Bengaluru","MahanagaramKalyan Nagar, North BengaluruAndhra₹800 for two4.7",25% Off :Payeazy
Dobaraa ,Multicuisine₹2000 for two,"Phoenix Market City Mall, Whitefield","Dobaraa Phoenix Market City Mall, WhitefieldMulticuisine₹2000 for two4.1",Flat 15% + 25% with Bank Offers
Dobaraa ,Multicuisine₹2000 for two,"Phoenix Market City Mall, Whitefield","Dobaraa Phoenix Market City Mall, WhitefieldMulticuisine₹2000 for two4.1",Flat 15% + 25% with Bank Offers
Yummy Bee,Cafe₹1000 for two,"JP Nagar, South Bengaluru","Yummy BeeJP Nagar, South BengaluruCafe₹1000 for two5.0",Flat 10% + 25% with Bank Offers
Yummy Bee,Cafe₹1000 for two,"JP Nagar, South Bengaluru","Yummy BeeJP Nagar, South BengaluruCafe₹1000 for two5.0",Flat 10% + 25% with Bank Offers
Babylonia,Multicuisine₹2000 for two,"Koramangala 7th Block, South Bengaluru","BabyloniaKoramangala 7th Block, South BengaluruMulticuisine₹2000 for two4.0",Flat 20% + 25% with Bank Offers
Babylonia,Multicuisine₹2000 for two,"Koramangala 7th Block, South Bengaluru","BabyloniaKoramangala 7th Block, South BengaluruMulticuisine₹2000 for two4.0",Flat 20% + 25% with Bank Offers
Macaw By Stories,Multicuisine₹2000 for two,Singsandra Hosur Main Road,Macaw By StoriesSingsandra Hosur Main RoadMulticuisine₹2000 for two4.2,Flat 15% + 25% with Bank Offers
Macaw By Stories,Multicuisine₹2000 for two,Singsandra Hosur Main Road,Macaw By StoriesSingsandra Hosur Main RoadMulticuisine₹2000 for two4.2,Flat 15% + 25% with Bank Offers
The Whiskey Bar,"Pan Asian, Multicuisine₹2500 for two",Radisson Blu Atria Bengaluru,"The Whiskey BarRadisson Blu Atria BengaluruPan Asian, Multicuisine₹2500 for two3.0",Flat 10% + 25% with Bank Offers
The Whiskey Bar,"Pan Asian, Multicuisine₹2500 for two",Radisson Blu Atria Bengaluru,"The Whiskey BarRadisson Blu Atria BengaluruPan Asian, Multicuisine₹2500 for two3.0",Flat 10% + 25% with Bank Offers
The Porcupine,"Finger Food, Indian, Cocktail Menu₹1000 for two","Indiranagar, East Bengaluru","The PorcupineIndiranagar, East BengaluruFinger Food, Indian, Cocktail Menu₹1000 for two4.0",25% Off :Payeazy
The Porcupine,"Finger Food, Indian, Cocktail Menu₹1000 for two","Indiranagar, East Bengaluru","The PorcupineIndiranagar, East BengaluruFinger Food, Indian, Cocktail Menu₹1000 for two4.0",25% Off :Payeazy
Fat Owl,"Finger Food, Cocktail Menu₹1200 for two","JP Nagar, South Bengaluru","Fat OwlJP Nagar, South BengaluruFinger Food, Cocktail Menu₹1200 for two4.2",Flat 10% + 25% with Bank Offers
Fat Owl,"Finger Food, Cocktail Menu₹1200 for two","JP Nagar, South Bengaluru","Fat OwlJP Nagar, South BengaluruFinger Food, Cocktail Menu₹1200 for two4.2",Flat 10% + 25% with Bank Offers
46 Ounces,Multicuisine₹1200 for two,"Old Madras Road, East Bengaluru","46 OuncesOld Madras Road, East BengaluruMulticuisine₹1200 for two5.0",Flat 10% + 25% with Bank Offers
46 Ounces,Multicuisine₹1200 for two,"Old Madras Road, East Bengaluru","46 OuncesOld Madras Road, East BengaluruMulticuisine₹1200 for two5.0",Flat 10% + 25% with Bank Offers
Thelagram,Indian₹2000 for two,"JP Nagar, South Bengaluru","ThelagramJP Nagar, South BengaluruIndian₹2000 for two4.1",Flat 10% + 25% with Bank Offers
Thelagram,Indian₹2000 for two,"JP Nagar, South Bengaluru","ThelagramJP Nagar, South BengaluruIndian₹2000 for two4.1",Flat 10% + 25% with Bank Offers
Vesparo-Pulse,Multicuisine₹2000 for two,"100 Feet Road, East Bengaluru","Vesparo-Pulse100 Feet Road, East BengaluruMulticuisine₹2000 for two4.2",Flat 10% + 25% with Bank Offers
Vesparo-Pulse,Multicuisine₹2000 for two,"100 Feet Road, East Bengaluru","Vesparo-Pulse100 Feet Road, East BengaluruMulticuisine₹2000 for two4.2",Flat 10% + 25% with Bank Offers
Gold Rush Brews,Multicuisine₹1600 for two,"Old Madras Road, East Bengaluru","Gold Rush BrewsOld Madras Road, East BengaluruMulticuisine₹1600 for two4.2",Flat 10% + 25% with Bank Offers
Gold Rush Brews,Multicuisine₹1600 for two,"Old Madras Road, East Bengaluru","Gold Rush BrewsOld Madras Road, East BengaluruMulticuisine₹1600 for two4.2",Flat 10% + 25% with Bank Offers
Cavore,Modern Indian₹5000 for two,"Ashok Nagar, Bengaluru","CavoreAshok Nagar, BengaluruModern Indian₹5000 for two3.3",25% Off :Payeazy
Cavore,Modern Indian₹5000 for two,"Ashok Nagar, Bengaluru","CavoreAshok Nagar, BengaluruModern Indian₹5000 for two3.3",25% Off :Payeazy
Szechuan Dragon,Chinese₹2000 for two,"Basavanagudi, South Bengaluru  | View All(2) Outlets","Szechuan DragonBasavanagudi, South Bengaluru  | View All(2) OutletsChinese₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Szechuan Dragon,Chinese₹2000 for two,"Basavanagudi, South Bengaluru  | View All(2) Outlets","Szechuan DragonBasavanagudi, South Bengaluru  | View All(2) OutletsChinese₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Punjab Curry House,North Indian₹2000 for two,"Garuda Mall, Magrath Road","Punjab Curry HouseGaruda Mall, Magrath RoadNorth Indian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Punjab Curry House,North Indian₹2000 for two,"Garuda Mall, Magrath Road","Punjab Curry HouseGaruda Mall, Magrath RoadNorth Indian₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Toro Brew House & Kitchen,Multicuisine₹5000 for two,"Sanjay Nagar, North Bengaluru","Toro Brew House & KitchenSanjay Nagar, North BengaluruMulticuisine₹5000 for two4.1",Flat 10% + 25% with Bank Offers
Toro Brew House & Kitchen,Multicuisine₹5000 for two,"Sanjay Nagar, North Bengaluru","Toro Brew House & KitchenSanjay Nagar, North BengaluruMulticuisine₹5000 for two4.1",Flat 10% + 25% with Bank Offers
Frozen Bottle,"Desserts, Beverages₹2000 for two","Brigade Road, Central Bengaluru  | View All(18) Outlets","Frozen BottleBrigade Road, Central Bengaluru  | View All(18) OutletsDesserts, Beverages₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Frozen Bottle,"Desserts, Beverages₹2000 for two","Brigade Road, Central Bengaluru  | View All(18) Outlets","Frozen BottleBrigade Road, Central Bengaluru  | View All(18) OutletsDesserts, Beverages₹2000 for two5.0",Flat 10% + 25% with Bank Offers
Mykos,Multicuisine₹1600 for two,"Bannerghatta Road, South Bengaluru","MykosBannerghatta Road, South BengaluruMulticuisine₹1600 for two4.3",Flat 10% + 25% with Bank Offers
Mykos,Multicuisine₹1600 for two,"Bannerghatta Road, South Bengaluru","MykosBannerghatta Road, South BengaluruMulticuisine₹1600 for two4.3",Flat 10% + 25% with Bank Offers
Melange,Multicuisine₹2800 for two,Radisson Blu Bengaluru Outer Ring Road,MelangeRadisson Blu Bengaluru Outer Ring RoadMulticuisine₹2800 for two4.1,Flat 20% + 25% with Bank Offers
Melange,Multicuisine₹2800 for two,Radisson Blu Bengaluru Outer Ring Road,MelangeRadisson Blu Bengaluru Outer Ring RoadMulticuisine₹2800 for two4.1,Flat 20% + 25% with Bank Offers
The Pet People Cafe,American₹2000 for two,"HSR, South Bengaluru","The Pet People CafeHSR, South BengaluruAmerican₹2000 for two4.6",Flat 10% + 25% with Bank Offers
The Pet People Cafe,American₹2000 for two,"HSR, South Bengaluru","The Pet People CafeHSR, South BengaluruAmerican₹2000 for two4.6",Flat 10% + 25% with Bank Offers
Agni Sagar,North Indian₹2000 for two,"Seshadripuram, Central Bengaluru","Agni SagarSeshadripuram, Central BengaluruNorth Indian₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Agni Sagar,North Indian₹2000 for two,"Seshadripuram, Central Bengaluru","Agni SagarSeshadripuram, Central BengaluruNorth Indian₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Bangalore Adda,Multicuisine₹1500 for two,"New BEL Road, North Bengaluru","Bangalore AddaNew BEL Road, North BengaluruMulticuisine₹1500 for two3.3",Flat 15% + 25% with Bank Offers
Bangalore Adda,Multicuisine₹1500 for two,"New BEL Road, North Bengaluru","Bangalore AddaNew BEL Road, North BengaluruMulticuisine₹1500 for two3.3",Flat 15% + 25% with Bank Offers
Nysa Sky Bar,Multicuisine₹2000 for two,"Yelahanka, North Bengaluru","Nysa Sky BarYelahanka, North BengaluruMulticuisine₹2000 for two4.8",Flat 15% + 25% with Bank Offers
Nysa Sky Bar,Multicuisine₹2000 for two,"Yelahanka, North Bengaluru","Nysa Sky BarYelahanka, North BengaluruMulticuisine₹2000 for two4.8",Flat 15% + 25% with Bank Offers
Shibuya Xing (Shibuya Crossing),Multicuisine₹1500 for two,"Indiranagar, East Bengaluru","Shibuya Xing (Shibuya Crossing)Indiranagar, East BengaluruMulticuisine₹1500 for two4.0",Flat 10% + 25% with Bank Offers
Shibuya Xing (Shibuya Crossing),Multicuisine₹1500 for two,"Indiranagar, East Bengaluru","Shibuya Xing (Shibuya Crossing)Indiranagar, East BengaluruMulticuisine₹1500 for two4.0",Flat 10% + 25% with Bank Offers
Dublin,Irish₹3200 for two,"ITC Windsor, Bengaluru","DublinITC Windsor, BengaluruIrish₹3200 for two4.8",25% Off :Payeazy
Dublin,Irish₹3200 for two,"ITC Windsor, Bengaluru","DublinITC Windsor, BengaluruIrish₹3200 for two4.8",25% Off :Payeazy
Easy Tiger,"Cocktail Menu, American₹2000 for two","Church Street, Central Bengaluru","Easy TigerChurch Street, Central BengaluruCocktail Menu, American₹2000 for two4.2",25% Off :Payeazy
Easy Tiger,"Cocktail Menu, American₹2000 for two","Church Street, Central Bengaluru","Easy TigerChurch Street, Central BengaluruCocktail Menu, American₹2000 for two4.2",25% Off :Payeazy
Gladia Brewery & Kitchen,Multicuisine₹2500 for two,"Kaikondrahalli, Bengaluru","Gladia Brewery & KitchenKaikondrahalli, BengaluruMulticuisine₹2500 for two4.4",Flat 10% + 25% with Bank Offers
Gladia Brewery & Kitchen,Multicuisine₹2500 for two,"Kaikondrahalli, Bengaluru","Gladia Brewery & KitchenKaikondrahalli, BengaluruMulticuisine₹2500 for two4.4",Flat 10% + 25% with Bank Offers
Dolos Bar & Kitchen,Multicuisine₹2000 for two,"JP Nagar, South Bengaluru","Dolos Bar & KitchenJP Nagar, South BengaluruMulticuisine₹2000 for two3.1",Flat 15% + 25% with Bank Offers
Dolos Bar & Kitchen,Multicuisine₹2000 for two,"JP Nagar, South Bengaluru","Dolos Bar & KitchenJP Nagar, South BengaluruMulticuisine₹2000 for two3.1",Flat 15% + 25% with Bank Offers
Big Bean Cafe,Continental₹650 for two,"Indiranagar, East Bengaluru  | View All(6) Outlets","Big Bean CafeIndiranagar, East Bengaluru  | View All(6) OutletsContinental₹650 for two5.0",25% Off :Payeazy
