Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
SMOOR,European₹2000 for two,"Lavelle Road, Central Bengaluru  | View All(9) Outlets","SMOORLavelle Road, Central Bengaluru  | View All(9) OutletsEuropean₹2000 for two4.6",Flat 10% + 25% with Bank Offers
Rolls On Wheels,"Chinese, Fast Food₹500 for two","Cunningham Road, Central Bengaluru  | View All(19) Outlets","Rolls On WheelsCunningham Road, Central Bengaluru  | View All(19) OutletsChinese, Fast Food₹500 for two4.0",Flat 15% + 25% with Bank Offers
Rolls On Wheels,"Chinese, Fast Food₹500 for two","Cunningham Road, Central Bengaluru  | View All(19) Outlets","Rolls On WheelsCunningham Road, Central Bengaluru  | View All(19) OutletsChinese, Fast Food₹500 for two4.0",Flat 15% + 25% with Bank Offers
Hatti Kaapi,Multicuisine₹400 for two,"Infantry Road, Central Bengaluru  | View All(15) Outlets","Hatti KaapiInfantry Road, Central Bengaluru  | View All(15) OutletsMulticuisine₹400 for two5.0",Flat 10% + 25% with Bank Offers
Hatti Kaapi,Multicuisine₹400 for two,"Infantry Road, Central Bengaluru  | View All(15) Outlets","Hatti KaapiInfantry Road, Central Bengaluru  | View All(15) OutletsMulticuisine₹400 for two5.0",Flat 10% + 25% with Bank Offers
Tiamo,"Italian, Mediterranean₹3000 for two",Conrad Bengaluru,"TiamoConrad BengaluruItalian, Mediterranean₹3000 for two4.4",Flat 15% + 25% with Bank Offers
Tiamo,"Italian, Mediterranean₹3000 for two",Conrad Bengaluru,"TiamoConrad BengaluruItalian, Mediterranean₹3000 for two4.4",Flat 15% + 25% with Bank Offers
Punjab Grill,North Indian₹2000 for two,"Ashok Nagar, Bengaluru  | View All(8) Outlets","Punjab GrillAshok Nagar, Bengaluru  | View All(8) OutletsNorth Indian₹2000 for two4.2",Flat 15% + 25% with Bank Offers
Punjab Grill,North Indian₹2000 for two,"Ashok Nagar, Bengaluru  | View All(8) Outlets","Punjab GrillAshok Nagar, Bengaluru  | View All(8) OutletsNorth Indian₹2000 for two4.2",Flat 15% + 25% with Bank Offers
Alchemy,"Fusion, Indian₹2500 for two","The Chancery Pavilion, Bengaluru","AlchemyThe Chancery Pavilion, BengaluruFusion, Indian₹2500 for two4.5",Flat 10% + 25% with Bank Offers
Alchemy,"Fusion, Indian₹2500 for two","The Chancery Pavilion, Bengaluru","AlchemyThe Chancery Pavilion, BengaluruFusion, Indian₹2500 for two4.5",Flat 10% + 25% with Bank Offers
JW Kitchen,Multicuisine₹2500 for two,"JW Marriott, Bengaluru, Central Bengaluru","JW KitchenJW Marriott, Bengaluru, Central BengaluruMulticuisine₹2500 for two4.4",Flat 25% + 25% with Bank Offers
JW Kitchen,Multicuisine₹2500 for two,"JW Marriott, Bengaluru, Central Bengaluru","JW KitchenJW Marriott, Bengaluru, Central BengaluruMulticuisine₹2500 for two4.4",Flat 25% + 25% with Bank Offers
Maayaa,South Indian₹2000 for two,"The Courtyard by Sublime, Bengaluru","MaayaaThe Courtyard by Sublime, BengaluruSouth Indian₹2000 for two4.4",Flat 15% + 25% with Bank Offers
Maayaa,South Indian₹2000 for two,"The Courtyard by Sublime, Bengaluru","MaayaaThe Courtyard by Sublime, BengaluruSouth Indian₹2000 for two4.4",Flat 15% + 25% with Bank Offers
Purpose Matcha + Coffee House,Coffee₹550 for two,"Ashok Nagar, Bengaluru","Purpose Matcha + Coffee HouseAshok Nagar, BengaluruCoffee₹550 for two4.7",25% Off :Payeazy
Purpose Matcha + Coffee House,Coffee₹550 for two,"Ashok Nagar, Bengaluru","Purpose Matcha + Coffee HouseAshok Nagar, BengaluruCoffee₹550 for two4.7",25% Off :Payeazy
Muro India,"Thai, Cantonese₹5000 for two","Museum Road, Ashok Nagar, Bengaluru","Muro IndiaMuseum Road, Ashok Nagar, BengaluruThai, Cantonese₹5000 for two4.5",25% Off :Payeazy
Muro India,"Thai, Cantonese₹5000 for two","Museum Road, Ashok Nagar, Bengaluru","Muro IndiaMuseum Road, Ashok Nagar, BengaluruThai, Cantonese₹5000 for two4.5",25% Off :Payeazy
Zed The Baker,"Italian, French₹2000 for two","Church Street, Central Bengaluru  | View All(5) Outlets","Zed The BakerChurch Street, Central Bengaluru  | View All(5) OutletsItalian, French₹2000 for two4.5",Flat 10% + 25% with Bank Offers
Zed The Baker,"Italian, French₹2000 for two","Church Street, Central Bengaluru  | View All(5) Outlets","Zed The BakerChurch Street, Central Bengaluru  | View All(5) OutletsItalian, French₹2000 for two4.5",Flat 10% + 25% with Bank Offers
Yauatcha,Multicuisine₹3000 for two,"1MG Road Mall, MG Road","Yauatcha1MG Road Mall, MG RoadMulticuisine₹3000 for two4.6",25% Off :Payeazy
Yauatcha,Multicuisine₹3000 for two,"1MG Road Mall, MG Road","Yauatcha1MG Road Mall, MG RoadMulticuisine₹3000 for two4.6",25% Off :Payeazy
Spice It,Multicuisine₹2000 for two,"Ibis Hotel, Richmond Road  | View All(4) Outlets","Spice ItIbis Hotel, Richmond Road  | View All(4) OutletsMulticuisine₹2000 for two3.5",Flat 30% + 25% with Bank Offers
Spice It,Multicuisine₹2000 for two,"Ibis Hotel, Richmond Road  | View All(4) Outlets","Spice ItIbis Hotel, Richmond Road  | View All(4) OutletsMulticuisine₹2000 for two3.5",Flat 30% + 25% with Bank Offers
Scottish Pub,Multicuisine₹2000 for two,"St. Marks Road, Central Bengaluru","Scottish PubSt. Marks Road, Central BengaluruMulticuisine₹2000 for two4.9",Flat 10% + 25% with Bank Offers
Scottish Pub,Multicuisine₹2000 for two,"St. Marks Road, Central Bengaluru","Scottish PubSt. Marks Road, Central BengaluruMulticuisine₹2000 for two4.9",Flat 10% + 25% with Bank Offers
Monsoon,Multicuisine₹2000 for two,"The Park, Bengaluru","MonsoonThe Park, BengaluruMulticuisine₹2000 for two3.9",Flat 25% + 25% with Bank Offers
Monsoon,Multicuisine₹2000 for two,"The Park, Bengaluru","MonsoonThe Park, BengaluruMulticuisine₹2000 for two3.9",Flat 25% + 25% with Bank Offers
Church Street Social,Multicuisine₹2000 for two,"Church Street, Central Bengaluru  | View All(12) Outlets","Church Street SocialChurch Street, Central Bengaluru  | View All(12) OutletsMulticuisine₹2000 for two4.2",25% Off :Payeazy
Church Street Social,Multicuisine₹2000 for two,"Church Street, Central Bengaluru  | View All(12) Outlets","Church Street SocialChurch Street, Central Bengaluru  | View All(12) OutletsMulticuisine₹2000 for two4.2",25% Off :Payeazy
Toca Terrace,Multicuisine₹2000 for two,"Brigade Road, Central Bengaluru","Toca TerraceBrigade Road, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
Toca Terrace,Multicuisine₹2000 for two,"Brigade Road, Central Bengaluru","Toca TerraceBrigade Road, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
SkyDeck By Sherlock's,Multicuisine₹2000 for two,"MG Road, Central Bengaluru","SkyDeck By Sherlock'sMG Road, Central BengaluruMulticuisine₹2000 for two4.1",Flat 15% + 25% with Bank Offers
SkyDeck By Sherlock's,Multicuisine₹2000 for two,"MG Road, Central Bengaluru","SkyDeck By Sherlock'sMG Road, Central BengaluruMulticuisine₹2000 for two4.1",Flat 15% + 25% with Bank Offers
Ishaara,Multicuisine₹1800 for two,"St. Marks Road, Central Bengaluru","IshaaraSt. Marks Road, Central BengaluruMulticuisine₹1800 for two5.0",Flat 10% + 25% with Bank Offers
Ishaara,Multicuisine₹1800 for two,"St. Marks Road, Central Bengaluru","IshaaraSt. Marks Road, Central BengaluruMulticuisine₹1800 for two5.0",Flat 10% + 25% with Bank Offers
Ta'aam,"Arabian, North Indian₹600 for two","Cunningham Road, Central Bengaluru","Ta'aamCunningham Road, Central BengaluruArabian, North Indian₹600 for two5.0",25% Off :Payeazy
Ta'aam,"Arabian, North Indian₹600 for two","Cunningham Road, Central Bengaluru","Ta'aamCunningham Road, Central BengaluruArabian, North Indian₹600 for two5.0",25% Off :Payeazy
Cafe Noir,European₹1000 for two,"UB City, Central Bengaluru  | View All(6) Outlets","Cafe NoirUB City, Central Bengaluru  | View All(6) OutletsEuropean₹1000 for two4.4",Flat 10% + 25% with Bank Offers
Cafe Noir,European₹1000 for two,"UB City, Central Bengaluru  | View All(6) Outlets","Cafe NoirUB City, Central Bengaluru  | View All(6) OutletsEuropean₹1000 for two4.4",Flat 10% + 25% with Bank Offers
Sable Cafe,"Desserts, European, Cafe₹600 for two","Indiranagar, East Bengaluru","Sable CafeIndiranagar, East BengaluruDesserts, European, Cafe₹600 for two4.0",Flat 15% + 25% with Bank Offers
Sable Cafe,"Desserts, European, Cafe₹600 for two","Indiranagar, East Bengaluru","Sable CafeIndiranagar, East BengaluruDesserts, European, Cafe₹600 for two4.0",Flat 15% + 25% with Bank Offers
New Kudla Family Restaurant,"North Indian, Chinese₹2000 for two","MG Road, Central Bengaluru","New Kudla Family RestaurantMG Road, Central BengaluruNorth Indian, Chinese₹2000 for two4.0",Flat 50% + 25% with Bank Offers
New Kudla Family Restaurant,"North Indian, Chinese₹2000 for two","MG Road, Central Bengaluru","New Kudla Family RestaurantMG Road, Central BengaluruNorth Indian, Chinese₹2000 for two4.0",Flat 50% + 25% with Bank Offers
Monarch Cafe,Multicuisine₹2000 for two,"Infantry Road, Central Bengaluru","Monarch CafeInfantry Road, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
Monarch Cafe,Multicuisine₹2000 for two,"Infantry Road, Central Bengaluru","Monarch CafeInfantry Road, Central BengaluruMulticuisine₹2000 for two4.0",25% Off :Payeazy
Cafe Adams,European₹2000 for two,"Shivajinagar, Central Bengaluru","Cafe AdamsShivajinagar, Central BengaluruEuropean₹2000 for two4.0",25% Off :Payeazy
Cafe Adams,European₹2000 for two,"Shivajinagar, Central Bengaluru","Cafe AdamsShivajinagar, Central BengaluruEuropean₹2000 for two4.0",25% Off :Payeazy
Atlas World Cafe,Multicuisine₹2000 for two,"Vividus Hotel, Bengaluru","Atlas World CafeVividus Hotel, BengaluruMulticuisine₹2000 for two4.2",Flat 15% + 25% with Bank Offers
Atlas World Cafe,Multicuisine₹2000 for two,"Vividus Hotel, Bengaluru","Atlas World CafeVividus Hotel, BengaluruMulticuisine₹2000 for two4.2",Flat 15% + 25% with Bank Offers
Chianti,Multicuisine₹2000 for two,"MG Road, Central Bengaluru  | View All(7) Outlets","ChiantiMG Road, Central Bengaluru  | View All(7) OutletsMulticuisine₹2000 for two4.3",Flat 10% + 25% with Bank Offers
Chianti,Multicuisine₹2000 for two,"MG Road, Central Bengaluru  | View All(7) Outlets","ChiantiMG Road, Central Bengaluru  | View All(7) OutletsMulticuisine₹2000 for two4.3",Flat 10% + 25% with Bank Offers
Toscano,Italian₹2000 for two,"UB City, Central Bengaluru","ToscanoUB City, Central BengaluruItalian₹2000 for two5.0",25% Off :Payeazy
Toscano,Italian₹2000 for two,"UB City, Central Bengaluru","ToscanoUB City, Central BengaluruItalian₹2000 for two5.0",25% Off :Payeazy
