Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
Secret Scoopss,Ice Cream,New BEL Road,North Bengaluru,50,2000,4.4
Secret Scoopss,Ice Cream,New BEL Road,North Bengaluru,50,2000,4.4
The Big Bellyz,Multicuisine,Malleshwaram,West Bengaluru,35,2000,5.0
The Big Bellyz,Multicuisine,Malleshwaram,West Bengaluru,35,2000,5.0
Meloghrano,Multicuisine,Banashankari,South Bengaluru,35,2000,4.9
Meloghrano,Multicuisine,Banashankari,South Bengaluru,35,2000,4.9
The Nest,"Finger Food, Cocktail Menu",The Den,Bengaluru,35,2500,4.0
The Nest,"Finger Food, Cocktail Menu",The Den,Bengaluru,35,2500,4.0
Si Nonna's - The Original Sourdough Pizza | Indiranagar | Bengaluru,Italian,Indiranagar,East Bengaluru,25,1700,4.0
Si Nonna's - The Original Sourdough Pizza | Indiranagar | Bengaluru,Italian,Indiranagar,East Bengaluru,25,1700,4.0
Tawa Tandoor,"Multicuisine, Biryani",New BEL Road,North Bengaluru,35,2000,4.4
Tawa Tandoor,"Multicuisine, Biryani",New BEL Road,North Bengaluru,35,2000,4.4
The Rocks Bar & Kitchen,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,40,2000,3.0
